n_samples,n_features,log_n_samples,log_n_features,feature_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,stump_vs_mean_r2_ratio,simple_rule_r2,rule_vs_mean_r2_ratio,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,LinearRegression_rank,SVR_rank,RandomForestRegressor_rank,GradientBoostingRegressor_rank,LGBMRegressor_rank,HistGradientBoostingRegressor_rank,XGBRegressor_rank,DecisionTreeRegressor_rank,MLPRegressor_rank,LGBMRegressor_1pct_r2,LGBMRegressor_vs_mean_r2_ratio,LGBMRegressor_vs_stump_r2_ratio,XGBRegressor_1pct_r2,XGBRegressor_vs_mean_r2_ratio,XGBRegressor_vs_stump_r2_ratio,RandomForestRegressor_1pct_r2,RandomForestRegressor_vs_mean_r2_ratio,RandomForestRegressor_vs_stump_r2_ratio,DecisionTreeRegressor_1pct_r2,DecisionTreeRegressor_vs_mean_r2_ratio,DecisionTreeRegressor_vs_stump_r2_ratio,HistGradientBoostingRegressor_1pct_r2,HistGradientBoostingRegressor_vs_mean_r2_ratio,HistGradientBoostingRegressor_vs_stump_r2_ratio,LinearRegression_1pct_r2,LinearRegression_vs_mean_r2_ratio,LinearRegression_vs_stump_r2_ratio,BayesianRidge_1pct_r2,BayesianRidge_vs_mean_r2_ratio,BayesianRidge_vs_stump_r2_ratio,GradientBoostingRegressor_1pct_r2,GradientBoostingRegressor_vs_mean_r2_ratio,GradientBoostingRegressor_vs_stump_r2_ratio,MLPRegressor_1pct_r2,MLPRegressor_vs_mean_r2_ratio,MLPRegressor_vs_stump_r2_ratio,SVR_1pct_r2,SVR_vs_mean_r2_ratio,SVR_vs_stump_r2_ratio
61,2,4.127134385045092,1.0986122886681098,0.03278688524590164,3.2903934426229506,0.3287887000637605,-0.16402696768192362,-0.37059415799050344,-2.389328899341679e-16,-2.0,0.05664999205671788,0.05664999205671788,-0.4362957655970383,-0.17433581317744373,-1743358131.7744372,0.1883365596361981,1883365596.361981,-0.36267237281364184,1,0,0,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,13,5.717027701406222,2.6390573296152584,0.0429042904290429,0.9372937293729373,1.2285356879701044,1.0532483070030871,-0.15621171477513585,1.5012134262297256,2.0439774532029134,0.15588571022325548,0.5775368167291411,-0.00048116152600097273,0.217393691676119,2173936916.76119,0.5197885991961342,5197885991.961342,-0.3023949075200152,1,1,0,1,2,3,4,10,8,6,7,9,5,-0.0021043689320388026,-21043689.320388027,-0.009679990784525467,-0.5163716077804565,-5163716077.804565,-2.3752833111172595,0.31413167475728154,3141316747.5728154,1.4449898354239565,0.050242718446602,502427184.4660199,0.23111396682777446,-0.0021043689320388026,-21043689.320388027,-0.009679990784525467,-0.4420158655487487,-4420158655.487487,-2.0332506529549166,0.20969162498603877,2096916249.8603876,0.9645708822979323,0.19277822668877131,1927782266.8877132,0.886770104516093,0.4107261142217252,4107261142.2172523,1.8893193774621568,0.20709970273322598,2070997027.3322597,0.9526481708667546
159,15,5.075173815233827,2.772588722239781,0.09433962264150944,11445.729559748428,5877.856195222509,1.5765463970758375,2.4811958332944064,2.3065961281111296,3.919184251020617,0.3847409464325406,0.9719988006718845,-0.0005144105657548526,0.7833005057412029,7833005057.412029,0.7106502814609704,7106502814.609704,0.07265022428023249,1,1,1,7,8,9,1,2,4,5,3,6,10,-0.007377867655090187,-73778676.55090186,-0.009418949178526106,0.4291538532893896,4291538532.8938956,0.5478789431947323,0.8176478293316289,8176478293.316289,1.0438494847618216,-0.04273857419893523,-427385741.9893523,-0.05456216852367993,-0.007377867655090187,-73778676.55090186,-0.009418949178526106,-0.7315868676931947,-7315868676.931947,-0.9339798229811254,0.6381646728099626,6381646728.099626,0.8147124483292595,0.8830769852094538,8830769852.094538,1.1273795672758269,-4.861006032725163,-48610060327.251625,-6.205799686195027,-0.36875198095744044,-3687519809.5744042,-0.47076693842870254
398,7,5.988961416889864,2.0794415416798357,0.017587939698492462,23.514572864321607,7.815984312565782,0.45534192556309266,-0.5194245405990441,1.6274981873459742,1.0863208325994025,0.5587302026508761,0.9333605245144145,-0.0008813493931174587,0.5572362524722965,5572362524.722964,0.8497420053487074,8497420053.487073,-0.2925057528764109,1,1,1,7,6,8,3,4,1,2,5,9,10,-0.025160625163284767,-251606251.63284767,-0.045152527409432416,0.692739943284077,6927399432.840769,1.2431709893435499,0.671630698889027,6716306988.89027,1.2052889522338064,0.6489076874758208,6489076874.758208,1.1645108956870711,-0.025160628358186665,-251606283.58186665,-0.0451525331429106,0.8335329558334352,8335329558.334352,1.4958340419082392,0.7913623645269066,7913623645.269065,1.420155923122123,0.6924724174998916,6924724174.998916,1.2426908953385414,-0.13934947118115226,-1393494711.8115225,-0.25007251513680034,0.16053601465674017,1605360146.5674016,0.2880932709321911
125,4,4.836281906951478,1.6094379124341003,0.032,23.464,15.87884776838713,1.5711575973974423,2.9762566047714643,0.1602176630092015,-1.7376184893028912,0.32416085354055774,0.642857142857143,-0.005294914232750081,-0.021642446523143066,-216424465.23143065,-0.12450174392009483,-1245017439.2009482,0.10285929739695177,1,1,0,1,3,2,6,8,5,4,9,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,18,6.037870919922137,2.9444389791664403,0.0430622009569378,1917.7822966507176,1104.6729923907321,0.47090441693552926,-0.4907107143713749,2.256419300987247,4.992395854043264,0.1554937291516017,0.5520799215143224,-0.0018205746051336291,0.23486007548255106,2348600754.8255105,0.4656095713295737,4656095713.295737,-0.23074949584702265,1,1,0,2,1,8,4,3,6,5,7,9,10,-0.03179841219258184,-317984121.9258184,-0.1353930084849364,-0.041428532829081766,-414285328.2908176,-0.17639665977268112,-0.05012355560035853,-501235556.0035853,-0.2134188005235588,-0.22903196692762418,-2290319669.276242,-0.9751847624891022,-0.03179841219258184,-317984121.9258184,-0.1353930084849364,-0.5293396086454631,-5293396086.454631,-2.253850968743261,-0.031797466488829196,-317974664.88829195,-0.13538898181607537,-0.178773373867801,-1787733738.67801,-0.7611909921279191,-2.3978970767994654,-23978970767.99465,-10.209896560207898,-0.09864316703278542,-986431670.3278542,-0.42000824035379364
189,9,5.247024072160486,2.302585092994046,0.047619047619047616,2944.6560846560847,729.0224168601324,-0.2084992549065063,-0.11085672904511235,0.8206806112496592,-0.7053782397868877,0.11544392384635145,0.3390307448602244,-0.019245099599725535,0.6041339659976623,6041339659.976624,0.5807210700917915,5807210700.917915,0.023412895905870812,1,1,0,7,6,10,3,8,1,5,2,4,9,-0.0611843216065695,-611843216.065695,-0.10127608287266247,-0.2251791385221129,-2251791385.221129,-0.37273047237172596,0.15556249761969854,1555624976.1969852,0.25749669175247214,-0.21640359348528926,-2164035934.8528924,-0.3582046460968669,-0.0611843216065695,-611843216.065695,-0.10127608287266247,-5.126771129715105,-51267711297.15105,-8.48614946065612,-0.061183050066341726,-611830500.6634172,-0.10127397814043528,-0.14816420189731527,-1481642018.9731526,-0.24525057393956987,-18.3315124231286,-183315124231.286,-30.343456012866415,-0.3868655670167509,-3868655670.167509,-0.6403638742242939
303,13,5.717027701406222,2.6390573296152584,0.0429042904290429,246.69306930693068,51.77691754263704,1.1298741026270545,4.398208250636747,1.4710118151515048,2.1360858718491533,0.1932057977594844,0.5775368167291411,-0.0018767357302618137,0.026118072590234465,261180725.90234464,0.1144924649949628,1144924649.9496279,-0.08837439240472833,1,1,0,2,1,7,3,4,5,6,8,9,10,-0.010402220177651023,-104022201.77651022,-0.3982767159296589,-0.07337693208045626,-733769320.8045626,-2.80943135550867,0.01909388189059502,190938818.90595022,0.7310601433022365,-0.08704143778160822,-870414377.8160822,-3.3326133649752157,-0.010402220177651023,-104022201.77651022,-0.3982767159296589,-0.7500735983394671,-7500735983.3946705,-28.718566262807588,-0.010379397534981516,-103793975.34981516,-0.39740289024475595,-0.07035227520874932,-703522752.0874932,-2.693624308060695,-11.264454668317835,-112644546683.17834,-431.28966080481797,-0.02033699300867453,-203369930.0867453,-0.7786559646931421
108,5,4.6913478822291435,1.791759469228055,0.046296296296296294,1.2325925925925925,1.0771790524200955,1.9262308316260888,4.748231673347808,1.2737567003465364,-0.10837832680800741,0.27210214592258863,0.8522234032786357,-0.011098022922293449,0.5571446479341167,5571446479.3411665,0.9232582061925588,9232582061.925589,-0.36611355825844216,1,1,1,3,4,9,5,6,8,7,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,10,5.278114659230517,2.3978952727983707,0.05128205128205128,558.7282051282051,418.71780593198304,1.051579050359629,0.33374127940926934,0.31870506612302346,-1.1555090668564085,0.07835152448654309,0.2696772166372467,-0.03327676193142337,0.5184418235687238,5184418235.687238,0.5576935876404612,5576935876.404612,-0.03925176407173736,1,1,0,3,1,9,2,6,4,5,7,8,10,-0.010179379939823097,-101793799.39823097,-0.019634565494258845,-0.44941692662244725,-4494169266.224472,-0.8668608630547209,-0.04395908945428051,-439590894.5428051,-0.08479078549582596,-0.6117611449912423,-6117611449.912423,-1.1799996010741371,-0.010179379939823097,-101793799.39823097,-0.019634565494258845,-3.5602471941652736,-35602471941.65273,-6.867206757468194,-0.08097888257147634,-809788825.7147634,-0.15619666255714787,-0.3513005356611678,-3513005356.611678,-0.6776084021211302,-1.4864125735160383,-14864125735.160383,-2.8670768945380076,-0.0022883936295730045,-22883936.295730043,-0.004413983451066345
