n_samples,n_features,log_n_samples,log_n_features,feature_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,simple_rule_r2,LGBMRegressor_1pct_r2,XGBRegressor_1pct_r2,RandomForestRegressor_1pct_r2,DecisionTreeRegressor_1pct_r2,HistGradientBoostingRegressor_1pct_r2,GradientBoostingRegressor_1pct_r2,MLPRegressor_1pct_r2,BayesianRidge_1pct_r2,LinearRegression_1pct_r2,SVR_1pct_r2,TabPFNRegressor_1pct_r2,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,TabPFNRegressor_rank,RandomForestRegressor_rank,SVR_rank,XGBRegressor_rank,GradientBoostingRegressor_rank,HistGradientBoostingRegressor_rank,MLPRegressor_rank,LinearRegression_rank,LGBMRegressor_rank,DecisionTreeRegressor_rank
194,32,5.272999559,3.496507561,0.1649484536,46.93814433,34.43455302,0.513861273,-0.8217692331,0.8975566895,-0.1008348086,0.2977461951,0.9959301897,-3.49E-06,0.05699367364,-0.268861717,-0.1048465894,-0.3473852873,-0.1844842725,-1.221130197,-0.1048465894,-0.4851603716,-0.1630367235,-0.1048288678,-2.793180076,-0.3320713368,-0.02556157112,0.3258553907,1,1,0,1,2,3,4,5,6,7,8,9,10,11
303,13,5.717027701,2.63905733,0.04290429043,0.9372937294,1.226506726,1.053248307,-0.1562117148,1.000805901,-0.3550732107,0.1558857102,0.5775368167,-0.000481161526,0.2173936917,0.5197885992,-0.5969911003,-0.2700419426,0.09777402104,-0.3399676375,-0.5969911003,-0.09494170527,0.1738343665,-0.09498194887,-0.09499881665,-0.2009037505,0.04620486498,-0.3023949075,1,1,0,1,3,4,5,8,10,7,6,2,9,11
159,15,5.075173815,2.772588722,0.09433962264,11445.72956,5859.343216,1.576546397,2.481195833,0.9797714933,0.08812926142,0.3847409464,0.9719988007,-0.0005144105658,0.7833005057,0.7106502815,-0.01274112101,0.4712943217,0.7635102574,0.4441005369,-0.01274112101,0.4957470342,-4.396345757,0.5677138693,0.5677138693,-0.2281480109,0.4477268047,0.07265022428,1,1,1,8,1,2,10,4,3,6,11,9,5,7
8192,21,9.01103541,3.091042453,0.002563476563,83.96887207,18.40078131,-3.416123946,12.71668802,3.284728646,9.709481761,0.2398021378,0.9393484703,-0.00723289435,0.7353680433,0.7118794529,0.07132351189,0.7898364067,0.944488521,0.8166721115,0.01472542043,0.945361711,-11.83086148,-0.6333072231,-4.585284412,0.09684664566,0.9563502669,0.02348859039,0,1,1,10,6,5,9,3,4,2,7,11,1,8
418,18,6.03787092,2.944438979,0.04306220096,1917.782297,1103.350822,0.4709044169,-0.4907107144,1.668266138,2.432934382,0.1554937292,0.5520799215,-0.001820574605,0.2348600755,0.4656095713,-0.002524954186,0.1076971025,0.09529641762,-0.1612053321,-0.002524954186,-0.04329505848,-2.139122352,-0.002522329952,-0.3633996116,-0.01665742781,0.1138128483,-0.2307494958,1,1,0,2,3,5,9,8,4,6,11,1,7,10
15000,48,9.615872145,3.891820298,0.0032,28.94533333,41.72442544,0.9175595975,-0.9924037007,2.298189292,3.417718047,0.1011711701,0.789913647,-0.0002631137353,0.1722804906,0.4706467066,0.7133224887,0.7779903412,0.7589004803,0.6658569885,0.718273824,0.7953634452,0.3233273258,0.1427087612,0.1715861269,-0.4631995629,0.7948360443,-0.298366216,0,0,0,9,11,1,10,3,7,4,6,8,2,5
189,9,5.247024072,2.302585093,0.04761904762,2944.656085,727.0912283,-0.2084992549,-0.110856729,1.325756919,0.04794321943,0.1154439238,0.3390307449,-0.0192450996,0.604133966,0.5807210701,-0.000952457322,0.4930445623,0.5821278933,0.3505354896,-0.000952457322,0.390750812,-17.91053779,0.3455454661,-14.37786542,-0.05872401848,0.5598559889,0.02341289591,1,1,0,4,3,6,10,8,7,1,11,5,2,9
303,13,5.717027701,2.63905733,0.04290429043,246.6930693,51.69140647,1.129874103,4.398208251,1.35567956,0.4264826485,0.1932057978,0.5775368167,-0.00187673573,0.02611807259,0.114492465,-0.05604529348,-0.4333280122,-0.3291524642,-0.8322364918,-0.05604529348,-0.634196435,-5.675086209,-0.05604987076,-96.95802372,-0.1040399495,-0.2203777936,-0.0883743924,1,1,0,2,6,3,8,9,4,7,11,1,5,10
186,60,5.231108617,4.110873864,0.3225806452,0.6518709677,0.1572981024,-1.342202454,2.009053986,1.645889614,2.341208174,0.2041680938,1,-0.003360953466,0.02290588275,0.09382620154,-0.1412724716,-1.500542375,-0.5496751799,-2.114338434,-0.1412725027,-0.817021271,-2.381039476,-2.995814078,-2.99741504,-0.864588808,-0.5674982594,-0.07092031879,0,1,0,8,2,1,4,3,7,6,10,9,5,11
159,15,5.075173815,2.772588722,0.09433962264,11445.72956,5859.343216,1.576546397,2.481195833,0.9139811482,-0.003328912538,0.380661938,0.9719988007,-0.0005144105658,0.7833005057,0.7107254466,-0.009981822705,0.428047196,0.7518735538,0.5053877627,-0.009981822705,0.5201952263,-4.485952492,-0.1337733614,-0.1337733614,-0.05928455848,0.7819741249,0.07257505914,1,1,1,8,1,2,10,4,3,6,11,9,5,7
