X_train_path,y_train_path,best_algorithm,best_r2_score,algorithm_rankings
data\bike_sharing_demand\1\X_train.parquet,data\bike_sharing_demand\1\y_train.parquet,HistGradientBoostingRegressor,0.919269428,"{
  ""HistGradientBoostingRegressor"": {
    ""rank"": 1,
    ""r2_score"": 0.9192694278957395,
    ""rmse"": 50.958448110088106
  },
  ""LGBMRegressor"": {
    ""rank"": 2,
    ""r2_score"": 0.9190451459520826,
    ""rmse"": 51.02918421771158
  },
  ""XGBRegressor"": {
    ""rank"": 3,
    ""r2_score"": 0.9090433120727539,
    ""rmse"": 54.08969465951324
  },
  ""RandomForestRegressor"": {
    ""rank"": 4,
    ""r2_score"": 0.8977204103806363,
    ""rmse"": 57.35769190557194
  },
  ""GradientBoostingRegressor"": {
    ""rank"": 5,
    ""r2_score"": 0.8308428654702114,
    ""rmse"": 73.76363977478248
  },
  ""DecisionTreeRegressor"": {
    ""rank"": 6,
    ""r2_score"": 0.8038647708699334,
    ""rmse"": 79.42824779204548
  },
  ""MLPRegressor"": {
    ""rank"": 7,
    ""r2_score"": 0.6058362933334698,
    ""rmse"": 112.59924930550513
  },
  ""BayesianRidge"": {
    ""rank"": 8,
    ""r2_score"": 0.38764847422471194,
    ""rmse"": 140.34520543844073
  },
  ""LinearRegression"": {
    ""rank"": 9,
    ""r2_score"": 0.3876422745284106,
    ""rmse"": 140.34591589265872
  },
  ""SVR"": {
    ""rank"": 10,
    ""r2_score"": 0.30072834238205404,
    ""rmse"": 149.97543886848877
  }
}"
data\bike_sharing_demand\2\X_train.parquet,data\bike_sharing_demand\2\y_train.parquet,HistGradientBoostingRegressor,0.938766637,"{
  ""HistGradientBoostingRegressor"": {
    ""rank"": 1,
    ""r2_score"": 0.9387666373398219,
    ""rmse"": 41.786668432939976
  },
  ""LGBMRegressor"": {
    ""rank"": 2,
    ""r2_score"": 0.9383519753073573,
    ""rmse"": 41.9279158555071
  },
  ""XGBRegressor"": {
    ""rank"": 3,
    ""r2_score"": 0.9290735721588135,
    ""rmse"": 44.97257736492039
  },
  ""RandomForestRegressor"": {
    ""rank"": 4,
    ""r2_score"": 0.9247443999174478,
    ""rmse"": 46.324752093050584
  },
  ""DecisionTreeRegressor"": {
    ""rank"": 5,
    ""r2_score"": 0.8641148953310944,
    ""rmse"": 62.24860437634782
  },
  ""GradientBoostingRegressor"": {
    ""rank"": 6,
    ""r2_score"": 0.8257475182441981,
    ""rmse"": 70.49091994550409
  },
  ""MLPRegressor"": {
    ""rank"": 7,
    ""r2_score"": 0.6167654473859886,
    ""rmse"": 104.53844157567545
  },
  ""BayesianRidge"": {
    ""rank"": 8,
    ""r2_score"": 0.3960282342386189,
    ""rmse"": 131.2357056373682
  },
  ""LinearRegression"": {
    ""rank"": 9,
    ""r2_score"": 0.39593067258057757,
    ""rmse"": 131.24630468913878
  },
  ""SVR"": {
    ""rank"": 10,
    ""r2_score"": 0.37816706192895244,
    ""rmse"": 133.16207489845203
  }
}"
data\bike_sharing_demand\3\X_train.parquet,data\bike_sharing_demand\3\y_train.parquet,LGBMRegressor,0.913284689,"{
  ""LGBMRegressor"": {
    ""rank"": 1,
    ""r2_score"": 0.913284688806606,
    ""rmse"": 52.28127723770925
  },
  ""HistGradientBoostingRegressor"": {
    ""rank"": 2,
    ""r2_score"": 0.9122513092946197,
    ""rmse"": 52.591870574120655
  },
  ""RandomForestRegressor"": {
    ""rank"": 3,
    ""r2_score"": 0.9112848518815222,
    ""rmse"": 52.88069890215621
  },
  ""XGBRegressor"": {
    ""rank"": 4,
    ""r2_score"": 0.9025921821594238,
    ""rmse"": 55.410905137916
  },
  ""GradientBoostingRegressor"": {
    ""rank"": 5,
    ""r2_score"": 0.8311325532400509,
    ""rmse"": 72.95772176445307
  },
  ""DecisionTreeRegressor"": {
    ""rank"": 6,
    ""r2_score"": 0.8232680642127177,
    ""rmse"": 74.63728146955944
  },
  ""MLPRegressor"": {
    ""rank"": 7,
    ""r2_score"": 0.6253091431426456,
    ""rmse"": 108.67629981360287
  },
  ""BayesianRidge"": {
    ""rank"": 8,
    ""r2_score"": 0.3855075265331529,
    ""rmse"": 139.17350965412663
  },
  ""LinearRegression"": {
    ""rank"": 9,
    ""r2_score"": 0.38523409291764166,
    ""rmse"": 139.2044705569579
  },
  ""SVR"": {
    ""rank"": 10,
    ""r2_score"": 0.3363860291797195,
    ""rmse"": 144.62922387792477
  }
}"
data\bike_sharing_demand\4\X_train.parquet,data\bike_sharing_demand\4\y_train.parquet,LGBMRegressor,0.95014149,"{
  ""LGBMRegressor"": {
    ""rank"": 1,
    ""r2_score"": 0.9501414902052192,
    ""rmse"": 41.31320830014929
  },
  ""HistGradientBoostingRegressor"": {
    ""rank"": 2,
    ""r2_score"": 0.9495857282461584,
    ""rmse"": 41.54282487332733
  },
  ""XGBRegressor"": {
    ""rank"": 3,
    ""r2_score"": 0.9466919898986816,
    ""rmse"": 42.7184585304614
  },
  ""RandomForestRegressor"": {
    ""rank"": 4,
    ""r2_score"": 0.9450199237107479,
    ""rmse"": 43.383236148603416
  },
  ""DecisionTreeRegressor"": {
    ""rank"": 5,
    ""r2_score"": 0.8813584824065109,
    ""rmse"": 63.72907610082671
  },
  ""GradientBoostingRegressor"": {
    ""rank"": 6,
    ""r2_score"": 0.8671451701868303,
    ""rmse"": 67.43850738342633
  },
  ""MLPRegressor"": {
    ""rank"": 7,
    ""r2_score"": 0.6495011885015509,
    ""rmse"": 109.53743086941125
  },
  ""LinearRegression"": {
    ""rank"": 8,
    ""r2_score"": 0.4180631616541627,
    ""rmse"": 141.1423034560714
  },
  ""BayesianRidge"": {
    ""rank"": 9,
    ""r2_score"": 0.4179389872364584,
    ""rmse"": 141.1573612143589
  },
  ""SVR"": {
    ""rank"": 10,
    ""r2_score"": 0.364396654850341,
    ""rmse"": 147.50690913634836
  }
}"
data\bike_sharing_demand\5\X_train.parquet,data\bike_sharing_demand\5\y_train.parquet,HistGradientBoostingRegressor,0.932690827,"{
  ""HistGradientBoostingRegressor"": {
    ""rank"": 1,
    ""r2_score"": 0.93269082695845,
    ""rmse"": 47.01765058098306
  },
  ""LGBMRegressor"": {
    ""rank"": 2,
    ""r2_score"": 0.9320192101123121,
    ""rmse"": 47.251641459956325
  },
  ""XGBRegressor"": {
    ""rank"": 3,
    ""r2_score"": 0.9281671047210693,
    ""rmse"": 48.57194295658889
  },
  ""RandomForestRegressor"": {
    ""rank"": 4,
    ""r2_score"": 0.9142892482742426,
    ""rmse"": 53.05684835272083
  },
  ""DecisionTreeRegressor"": {
    ""rank"": 5,
    ""r2_score"": 0.8453120984071121,
    ""rmse"": 71.27741990445006
  },
  ""GradientBoostingRegressor"": {
    ""rank"": 6,
    ""r2_score"": 0.8450740816060585,
    ""rmse"": 71.33223577000065
  },
  ""MLPRegressor"": {
    ""rank"": 7,
    ""r2_score"": 0.6099754306030734,
    ""rmse"": 113.18002348542444
  },
  ""BayesianRidge"": {
    ""rank"": 8,
    ""r2_score"": 0.34938187009069843,
    ""rmse"": 146.1796363658335
  },
  ""LinearRegression"": {
    ""rank"": 9,
    ""r2_score"": 0.3490928299917728,
    ""rmse"": 146.21210324849437
  },
  ""SVR"": {
    ""rank"": 10,
    ""r2_score"": 0.29058379826011616,
    ""rmse"": 152.64210554417704
  }
}"
data\bike_sharing_demand\6\X_train.parquet,data\bike_sharing_demand\6\y_train.parquet,LGBMRegressor,0.944886664,"{
  ""LGBMRegressor"": {
    ""rank"": 1,
    ""r2_score"": 0.9448866644589503,
    ""rmse"": 44.68790329622987
  },
  ""HistGradientBoostingRegressor"": {
    ""rank"": 2,
    ""r2_score"": 0.9445117123855052,
    ""rmse"": 44.83965803655268
  },
  ""XGBRegressor"": {
    ""rank"": 3,
    ""r2_score"": 0.9385383725166321,
    ""rmse"": 47.191481102757045
  },
  ""RandomForestRegressor"": {
    ""rank"": 4,
    ""r2_score"": 0.9363077076422963,
    ""rmse"": 48.04022917473605
  },
  ""DecisionTreeRegressor"": {
    ""rank"": 5,
    ""r2_score"": 0.8785015310423533,
    ""rmse"": 66.35093286126505
  },
  ""GradientBoostingRegressor"": {
    ""rank"": 6,
    ""r2_score"": 0.8340246175537204,
    ""rmse"": 77.5502977472846
  },
  ""MLPRegressor"": {
    ""rank"": 7,
    ""r2_score"": 0.5854756509984795,
    ""rmse"": 122.55658572005618
  },
  ""LinearRegression"": {
    ""rank"": 8,
    ""r2_score"": 0.37130280367085267,
    ""rmse"": 150.9323702835096
  },
  ""BayesianRidge"": {
    ""rank"": 9,
    ""r2_score"": 0.3712795475506433,
    ""rmse"": 150.93516182521472
  },
  ""SVR"": {
    ""rank"": 10,
    ""r2_score"": 0.2841794448389986,
    ""rmse"": 161.0511065740242
  }
}"
data\bike_sharing_demand\7\X_train.parquet,data\bike_sharing_demand\7\y_train.parquet,HistGradientBoostingRegressor,0.945834593,"{
  ""HistGradientBoostingRegressor"": {
    ""rank"": 1,
    ""r2_score"": 0.9458345926976105,
    ""rmse"": 43.04058642293255
  },
  ""LGBMRegressor"": {
    ""rank"": 2,
    ""r2_score"": 0.9458206921044376,
    ""rmse"": 43.046108871035415
  },
  ""XGBRegressor"": {
    ""rank"": 3,
    ""r2_score"": 0.9416953325271606,
    ""rmse"": 44.65488183479705
  },
  ""RandomForestRegressor"": {
    ""rank"": 4,
    ""r2_score"": 0.937507496175949,
    ""rmse"": 46.23077096939111
  },
  ""GradientBoostingRegressor"": {
    ""rank"": 5,
    ""r2_score"": 0.8521392289635689,
    ""rmse"": 71.11212499734583
  },
  ""DecisionTreeRegressor"": {
    ""rank"": 6,
    ""r2_score"": 0.8455127203210985,
    ""rmse"": 72.68813670325649
  },
  ""MLPRegressor"": {
    ""rank"": 7,
    ""r2_score"": 0.6450781403546312,
    ""rmse"": 110.17512387775763
  },
  ""BayesianRidge"": {
    ""rank"": 8,
    ""r2_score"": 0.44030520031839504,
    ""rmse"": 138.35434707760987
  },
  ""LinearRegression"": {
    ""rank"": 9,
    ""r2_score"": 0.4397375630857342,
    ""rmse"": 138.42448814060694
  },
  ""SVR"": {
    ""rank"": 10,
    ""r2_score"": 0.36255837072492414,
    ""rmse"": 147.65133721064933
  }
}"
data\bike_sharing_demand\8\X_train.parquet,data\bike_sharing_demand\8\y_train.parquet,LGBMRegressor,0.927899584,"{
  ""LGBMRegressor"": {
    ""rank"": 1,
    ""r2_score"": 0.9278995837433687,
    ""rmse"": 47.912030367510226
  },
  ""XGBRegressor"": {
    ""rank"": 2,
    ""r2_score"": 0.9274570941925049,
    ""rmse"": 48.058822193484936
  },
  ""HistGradientBoostingRegressor"": {
    ""rank"": 3,
    ""r2_score"": 0.9268826353316738,
    ""rmse"": 48.24873754806051
  },
  ""RandomForestRegressor"": {
    ""rank"": 4,
    ""r2_score"": 0.9231568440369124,
    ""rmse"": 49.4627531367295
  },
  ""DecisionTreeRegressor"": {
    ""rank"": 5,
    ""r2_score"": 0.8684008449102212,
    ""rmse"": 64.72949813175401
  },
  ""GradientBoostingRegressor"": {
    ""rank"": 6,
    ""r2_score"": 0.8227636695740577,
    ""rmse"": 75.11939199231077
  },
  ""MLPRegressor"": {
    ""rank"": 7,
    ""r2_score"": 0.5921842424566397,
    ""rmse"": 113.94825807929922
  },
  ""LinearRegression"": {
    ""rank"": 8,
    ""r2_score"": 0.37634433061112904,
    ""rmse"": 140.91204791186496
  },
  ""BayesianRidge"": {
    ""rank"": 9,
    ""r2_score"": 0.37623457723033704,
    ""rmse"": 140.92444649496812
  },
  ""SVR"": {
    ""rank"": 10,
    ""r2_score"": 0.31926809064033734,
    ""rmse"": 147.21895940339846
  }
}"
data\bike_sharing_demand\9\X_train.parquet,data\bike_sharing_demand\9\y_train.parquet,LGBMRegressor,0.945379868,"{
  ""LGBMRegressor"": {
    ""rank"": 1,
    ""r2_score"": 0.9453798679280174,
    ""rmse"": 43.85449130806917
  },
  ""HistGradientBoostingRegressor"": {
    ""rank"": 2,
    ""r2_score"": 0.9452427705892028,
    ""rmse"": 43.909494525665565
  },
  ""XGBRegressor"": {
    ""rank"": 3,
    ""r2_score"": 0.9417924284934998,
    ""rmse"": 45.271773184464784
  },
  ""RandomForestRegressor"": {
    ""rank"": 4,
    ""r2_score"": 0.93538583895617,
    ""rmse"": 47.698152709809236
  },
  ""DecisionTreeRegressor"": {
    ""rank"": 5,
    ""r2_score"": 0.8828731189242738,
    ""rmse"": 64.21936311164626
  },
  ""GradientBoostingRegressor"": {
    ""rank"": 6,
    ""r2_score"": 0.8358776209964816,
    ""rmse"": 76.01890447084901
  },
  ""MLPRegressor"": {
    ""rank"": 7,
    ""r2_score"": 0.6342397267021638,
    ""rmse"": 113.48434918922285
  },
  ""BayesianRidge"": {
    ""rank"": 8,
    ""r2_score"": 0.41316244376753175,
    ""rmse"": 143.74629334110242
  },
  ""LinearRegression"": {
    ""rank"": 9,
    ""r2_score"": 0.41309925905587597,
    ""rmse"": 143.7540317037322
  },
  ""SVR"": {
    ""rank"": 10,
    ""r2_score"": 0.3398794287124366,
    ""rmse"": 152.4576910708479
  }
}"
data\bike_sharing_demand\10\X_train.parquet,data\bike_sharing_demand\10\y_train.parquet,LGBMRegressor,0.935612896,"{
  ""LGBMRegressor"": {
    ""rank"": 1,
    ""r2_score"": 0.9356128961255168,
    ""rmse"": 44.44387585744654
  },
  ""HistGradientBoostingRegressor"": {
    ""rank"": 2,
    ""r2_score"": 0.9349560033142666,
    ""rmse"": 44.67001412878486
  },
  ""RandomForestRegressor"": {
    ""rank"": 3,
    ""r2_score"": 0.9322376923646384,
    ""rmse"": 45.59388232769121
  },
  ""XGBRegressor"": {
    ""rank"": 4,
    ""r2_score"": 0.9300717115402222,
    ""rmse"": 46.31685149512945
  },
  ""DecisionTreeRegressor"": {
    ""rank"": 5,
    ""r2_score"": 0.8684081973555998,
    ""rmse"": 63.53702829212563
  },
  ""GradientBoostingRegressor"": {
    ""rank"": 6,
    ""r2_score"": 0.8496931461992513,
    ""rmse"": 67.90501859626963
  },
  ""MLPRegressor"": {
    ""rank"": 7,
    ""r2_score"": 0.6195919304356057,
    ""rmse"": 108.02825000692926
  },
  ""BayesianRidge"": {
    ""rank"": 8,
    ""r2_score"": 0.39611689145536055,
    ""rmse"": 136.1096512813027
  },
  ""LinearRegression"": {
    ""rank"": 9,
    ""r2_score"": 0.3960252962576377,
    ""rmse"": 136.119973243899
  },
  ""SVR"": {
    ""rank"": 10,
    ""r2_score"": 0.3639867130482317,
    ""rmse"": 139.68364993333836
  }
}"
